3,4-Diaminopyridine	N07XX05
Rocaltrol	A11CC04
Roceron	L03AB04
Rohypnol	N05CD03
Rondomycin	J01AA05
Ropinirol Krka	N04BC04
Ropinirol Mylan	N04BC04
Ropivacain Fresenius Kabi	N01BB09
Rosazol	D06BX01
RoseGlo	S01JA02
RotaTeq	J07BH
Rotarix	J07BH01
Rovamycin	J01FA02
Roxithromycin	J01FA06
Rozex	D06BX01
Rubira	G03AA12
Ruconest	B06AC04
Rytmonorm	C01BC03
S-Ketamin	N01AX14
S-ketamin	N01AX14
S2 Racepinephrine	R03AA01
S2 Racepinephrine life	R03AA01
S2 Racepinephrine specific	R03AA01
SMOFlipid	B05BA02
SPT 106 Mugwort	V04CL
SPT 108 Birch	V04CL
SPT 115 Alder	V04CL
SPT 129 Hazel	V04CL
SPT 177 Timothy grass	V04CL
SPT 306 Dog epithelia	V04CL
SPT 308 Rabbit epithelia	V04CL
SPT 309 Cat epithelia	V04CL
SPT 311 Guinea pig epithelia	V04CL
SPT 314 Horse epithelia	V04CL
SPT 315 Rat epithelia	V04CL
SPT 400 Alternaria tenuis	V04CL
SPT 401 Aspergillus fumigatus	V04CL
SPT 405 Cladosporium herbarum	V04CL
SPT 513 Cod	V04CL
SPT 526 Shrimp	V04CL
SPT 538 Peanut	V04CL
SPT 542 Hazelnut	V04CL
SPT 581 Pea	V04CL
SPT 599 Wheat flour	V04CL
SPT 601 Cow's milk	V04CL
SPT 604 Hen's egg (whole)	V04CL
SPT 610 Hen's egg (white)	V04CL
SPT 708 Dermatophagoides farinae	V04CL
SPT 725 Dermatophagoides pteronyssinus	V04CL
SPT 901 Negativ control	V04CL
SPT 902 Positiv control	V04CL
Sabrilex	N03AG04
Saccharomyces boulardii	A07FA02
Saflutan	S01EE05
Saforide	D08AL
Saizen	H01AC01
Salagen	N07AX01
Salazopyrin	A07EC01
Salazopyrin EN	A07EC01
Salbutamol Arrow	R03AC02
Salbuvent	R03AC02
Salidex	B05BB02
Salisylsyre NAF olje	D02AF
Salisylsyre NAF vaselin	D02AF
Salisylsyre ullevål	D02AF
Salisyltalg NAF	D02AF
Salofalk	A07EC02
Saltsyre SA	B05XA13
Salvapar	L02AE04
Samin	M01AX05
Sammensatt Efedrinsirup NAF	R05FA02
Samsca	C03XA01
Sancuso	A04AA02
Sandimmun	L04AD01
Sandimmun Neoral	L04AD01
Sandomigrin	N02CX01
Sandostatin	H01CB02
Sandostatin LAR	H01CB02
Sarotex	N06AA09
Sarotex Retard	N06AA09
Sativex	N02BG10
Sauramide	L04AX02
Savene	V03AF02
Scandonest Plain	N01BB03
Scheriproct	C05AA04
Scheriproct kombinasjonspakning	C05AA04
Scopoderm	A04AD01
Scott-Mathiesens hudvann NAF	D10AX30
Sebiprox	D01AE14
Sebivo	J05AF11
Secrelux	V04CK01
Secrelux abcur	V04CK01
Secrelux campus	V04CK01
Seebri Breezhaler	R03BB06
Selegilin Mylan	N04BD01
Selexid	J01CA08
Selincro	N07BB05
Selo-Zok	C07AB02
Seloken	C07AB02
Selozok	C07AB02
Selsun	D11AC03
Selukos	D11AC03
Selutrio 40	B05D
Semap	N05AG03
Sendoxan	L01AA01
Septocaine	N01BB58
Septocaine Forte	N01BB58
Septopal	J01GB03
Septopal Mini	J01GB03
Septrin	J01EE01
Septrin life	J01EE01
Sequidot	G03FB05
Seractiv	M01AE14
Serdolect	N05AE03
Seretide	R03AK06
Seretide Diskus	R03AK06
Serevent	R03AC12
Serevent Diskus	R03AC12
Seroquel	N05AH04
Seroquel Depot	N05AH04
Seroxat	N06AB05
Sertralin Bluefish	N06AB06
Sertralin Hexal	N06AB06
Sevikar	C09DB02
Sevofluran Baxter	N01AB08
Sevorane	N01AB08
Sibelium	N07CA03
Sifrol	N04BC05
Signifor	H01CB05
Sildenafil Actavis	G04BE03
Sildenafil SA	G04BE03
Sildenafilsitrat SA	G04BE03
Silkis	D05AX03
Siloxan	A03AX13
Silver nitrate	D08AL01
Simdax	C01CX08
Simplex	S01XA20
Simponi	L04AB06
Simulect	L04AC02
Simvastatin Amneal	C10AA01
Simvastatin Bluefish	C10AA01
Simvastatin Hexal	C10AA01
Simvastatin Krka	C10AA01
Simvastatin Pfizer	C10AA01
Simvastatin Ranbaxy	C10AA01
Simvastatin Sandoz	C10AA01
Simvastatin Teva	C10AA01
Sinalfa	G04CA03
Sinalfa Startpakning	G04CA03
Sinemet	N04BA02
Sinemet 12,5/50	N04BA02
Sinemet 25/100	N04BA02
Sinemet 25/250	N04BA02
Sinemet Depot Mite	N04BA02
Sinequan	N06AA12
Singulair	R03DC03
Sinkoksid i cetylan SA	D02AB
Sinksulfat SA	A12CB01
Siqualone Dekanoat	N05AB02
Sirdalud	M03BX02
Sirdalud Retard	M03BX02
Sirturo	J04AK05
Sitratmikstur Fenstad SA	B05CB02
Skinoren	D10AX03
Skopolamin NAF	N05CM05
Skopolamin SA	S01FA02
SmofKabiven	B05BA10
SmofKabiven Elektrolytfri	B05BA10
SmofKabiven Elektrolyttfri	B05BA10
SmofKabiven Perifer	B05BA10
Sobril	N05BA04
Sodium chloride BP	B05XA03
Sofradex	S03CA01
Solaraze	D11AX18
Solhattinktur NAF	R05
Solian	N05AL05
Soliris	L04AA25
Solu-Cortef	H02AB09
Solu-Decortin H	H02AB06
Solu-Medrol	H02AB04
Solupred	H02AB06
Soluprick Alternaria alternata	V04CL
Soluprick Cladosporium herbarum	V04CL
Soluprick Eggehvite	V04CL
Soluprick Hamsterhår	V04CL
Soluprick Hasselnøtt	V04CL
Soluprick Hvetemel	V04CL
Soluprick Jordnøtt	V04CL
Soluprick Kaninhår	V04CL
Soluprick Kuhår	V04CL
Soluprick Kumelk rå	V04CL
Soluprick Mandel	V04CL
Soluprick Marsvinhår	V04CL
Soluprick Negativ kontroll	V04CL
Soluprick Positiv kontroll	V04CL
Soluprick Reke	V04CL
Soluprick SQ Bigift	V04CL
Soluprick SQ Bjørk	V04CL
Soluprick SQ Burot	V04CL
Soluprick SQ Dermatophagoides Pteronyssinus	V04CL
Soluprick SQ Dermatophagoides farinae	V04CL
Soluprick SQ Gråor	V04CL
Soluprick SQ Hassel	V04CL
Soluprick SQ Hestehår	V04CL
Soluprick SQ Hundehår	V04CL
Soluprick SQ Kattehår	V04CL
Soluprick SQ Latex	V04CL
Soluprick SQ Raigress	V04CL
Soluprick SQ Timotei	V04CL
Soluprick SQ Vepsegift	V04CL
Soluprick Soyabønne	V04CL
Soluprick Torsk	V04CL
Soluvit	B05XC
Solvezink	A12CB01
Solvipect	R05CA10
Solvipect Comp	R05FA02
Somac	A02BC02
Somac Control	A02BC02
Somavert	H01AX01
Sonazoid	V08DA06
Sondegel SA	V07A
SonoVue	V08DA05
Sorbangil	C01DA08
Sorbitol SA	A06AD18
Sotacor	C07AA07
Sotalol	C07AA07
Sotalol Mylan	C07AA07
Sovaldi	J05A
Sp SQ Gråor	V04CL
Spektramox	J01CR02
Spersadex	S01BA01
Spersadex Med Kloramfenikol	S01CA01
Spersadex comp	S01CA01
Spersallerg	S01GA52
Spiriva	R03BB04
Spirix	C03DA01
Spironolakton SA	C03DA01
Sporanox	J02AC02
Sprycel	L01XE06
Stablon	N06AX14
Stalevo	N04BA03
Staloral 5-gress	V01AA02
Staloral bjørk	V01AA05
Staloral burot	V01AA10
Staloral hest	V01AA11
Staloral hest startpakning	V01AA11
Staloral hund	V01AA11
Staloral hund startpakning	V01AA11
Staloral katt	V01AA11
Staloral katt startpakning	V01AA11
Staloral midd	V01AA03
Staloral midd mix	V01AA03
Staloral or	V01AA05
Stamaril	J07BL01
Standard EDA blanding SA	N01AH51
Starlix	A10BX03
Steinkulltjære i Unguentum Merck SA	D05A
Steinkulltjære i cetylan SA	D05A
Steinkulltjære i sinkpasta SA	D05A
Steinkulltjære/sinkoksid i cetylan SA	D05A
Stelara	L04AC05
Stemetil	N05AB04
Stemflova	H01BA04
Steril Sprit NAF	V03AB16
Sterilt vann B. Braun	V07AB
Sterilt vann Baxter Viaflo	V07AB
Sterilt vann Fresenius Kabi	V07AB
Sterk Hostesirup NAF	R05DA20
Sterogyl	A11CC01
Stesolid	N05BA01
Stesolid Prefill	N05BA01
Stilnoct	N05CF02
Stilnox	N05CF02
Stivarga	L01XE21
Stocrin	J05AG03
Strattera	N06BA09
Streptase	B01AD01
Streptase life	B01AD01
Strepto-fatol	J01GA01
Streptomycin sulfate	J01GA01
Stribild	J05AR09
Striverdi	R03AC19
Stromectol	P02CF01
Structolipid	B05BA02
Suboxone	N07BC51
Subutex	N07BC01
Succicaptal	V03AB
Sufenta	N01AH03
Sulfantren SA	D05A
Sumatriptan Bluefish	N02CC01
Sumatriptan SUN	N02CC01
Sumatriptan Sandoz	N02CC01
Sumatriptan Teva	N02CC01
Sunmedabon	G02AD06
Superfuel	A11
Superfuel tropical	A11
Supralip	C10AB05
Suprane	N01AB07
Suprecur	L02AE01
Suptamid	N05CD08
Surmontil	N06AA06
Suscard	C01DA02
Sutent	L01XE04
Suxinutin	N03AD01
Sycrest	N05AH05
Sylvant	L04AC11
Symbicort Forte Turbuhaler	R03AK07
Symbicort Mite Turbuhaler	R03AK07
Symbicort Turbuhaler	R03AK07
Symmetrel	N04BB01
Symmetrel Euromedica	N04BB01
Synacthen	H01AA02
Synacthen campus	H01AA02
Synacthen depot	H01AA02
Synacthene Retard	H01AA02
Synagis	J06BB16
Synalar	D07AC04
Synalar med Chinoform	D07BC02
Synarel	H01CA02
Synarela	H01CA02
Syner-Kinase	B01AD04
Synercid	J01FG02
Synfase	G03AB04
Syntaris	R01AD04
Syntocinon	H01BB02
Syntocinon campus	H01BB02
Syprine	V03AX
Sølvnitrat SA	D08AL01
Sølvnitrat ullevål	D08AL01
TRH Ferring	V04CJ02
TachoSil	B02BC30
Tachosil	B02BC30
Tacni	L04AD02
Tafinlar	L01XE23
Taflotan	S01EE05
Tagitol V	V08BA01
Talidex	L04AX02
Taloxa	N03AX10
Tambocor	C01BC04
Tambocor Retard	C01BC04
Tamiflu	J05AH02
Tamoxifen Mylan	L02BA01
Tamsulosin Actavis	G04CA02
Tamsulosin Arrow	G04CA02
Tamsulosin Hexal	G04CA02
Tamsulosin Mylan	G04CA02
Tamsulosin Teva	G04CA02
Tamsulosin ratiopharm	G04CA02
Tapin	N01BB20
Tarceva	L01XE03
Tardocillin 1200	J01CE08
Tardocillin 1200 specific	J01CE08
Targiniq	N02AA55
Targocid	J01XA02
Targretin	L01XX25
Tarivid	J01MA01
Tasigna	L01XE08
Tasmar	N04BX01
Tationil	V03AB32
Tauredon	M01CB01
Taurine	A16
Tavanic	J01MA12
Tavanic specific	J01MA12
Tavegyl	R06AA04
Tavor	N05BA06
Taxotere	L01CD02
Tazocin	J01CR05
Tears Naturale	S01XA20
Tears Naturale uten konserveringsmiddel	S01XA20
Tecfidera	N07XX09
Tegretol	N03AF01
Tegretol Retard	N03AF01
Telfast	R06AX26
Telmisartan Actavis	C09CA07
Telzir	J05AE07
Temesta	N05BA06
Temesta Expidet	N05BA06
Temesta Expidet campus	N05BA06
Temgesic	N02AE01
Temodal	L01AX03
Temomedac	L01AX03
Temozolomid ratiopharm	L01AX03
Temozolomide SUN	L01AX03
Temozolomide Teva	L01AX03
Tenofovir disoproxil Teva	J05AF07
Tenormin	C07AB03
Teofyllin SA	R03DA04
Teovent	R03DA02
Tepadina	L01AC01
Terbasmin Turbuhaler	R03AC03
Terbinafin Actavis	D01BA02
Terbinafin BMM Pharma	D01BA02
Terbinafin Bluefish	D01BA02
Terbinafin Hexal	D01BA02
Terbinafin Orifarm	D01BA02
Terbinafin ratiopharm	D01AE15
Termo	M02AB01
Terra-Cortril	D07CA01
Terra-Cortril Polymyxin B	S03CA04
Terramycin-Polymyxin B	D06AA03
Testim	G03BA03
Testogel	G03BA03
Testopatch	G03BA03
Testosteron SA	G03BA03
Testoviron Depot campus	G03BA03
Testoviron-Depot	G03BA03
Tetagam P SA	J06BB02
Tetavax	J07AM01
Tetmodis	N07XX06
Tetracyclin Actavis	J01AA07
Tetracyclin Arco	J01AA07
Tetrakain Minims	S01HA03
Tetrakain SA	N01BA03
Tetrakain-Adrenalin SA	N01BX
Tetralysal	J01AA04
Tetraspan	B05AA07
Tetravac	J07CA02
Tevagrastim	L03AA02
Teveten	C09CA02
Teveten Comp	C09DA02
Teysuno	L01BC53
Thalidomide Celgene	L04AX02
Theo-Dur	R03DA04
Ther-Biotic Complete	A07FA
Ther-Biotic Factor 1	A07FA
Ther-Biotic Factor 4	A07FA
Therimin	N02BE01
Thermogene	M02AB01
Thioctacid	A16AX01
Thiopental	N01AF03
Thiopental Inresa	N01AF03
Thiopental Inresa Life	N01AF03
Thiopental abcur	N01AF03
Thiopental life	N01AF03
Thioridazin	N05AC02
Thiotepa	L01AC01
Thybon	H03AA02
Thymipect NAF	R05CA10
Thymoglobuline	L04AA04
Thyrogen	H01AB01
Thyroid	H03AA05
Tiamin NAF	A11DA01
Tiamin SA	A11DA01
Tiamin kragerø	A11DA01
Tiaminhydroklorid SA	A11DA01
Tiapridex	N05AL03
Tiberal	P01AB03
Ticlid	B01AC05
TicoVac	J07BA01
TicoVac Junior	J07BA01
Tienam	J01DH51
Tilade	R03BC03
Tilavist	S01GX04
Timentin	J01CR03
Timentin specfic	J01CR03
Timolol maleate	C07AA06
Timosan	S01ED01
Tioguanine	L01BB03
Tiosulfat NAF	V03AB06
Tiosulfat NAF Antidot	V03AB06
Tisseel	B02BC30
Tisseel duo quick	B02BC30
Titralac	A02AC01
Tivicay	J05AX12
Tobi	J01GB01
Tobi Podhaler	J01GB01
Tobramycin B. Braun	J01GB01
Tobrasone	S01CA01
Tobrex Depot	S01AA12
Toctino	D11AH04
Tofranil	N06AA02
Toilax	A06AG02
Toilax Kombinasjonspakning	A06AG02
Tolvon	N06AX03
Tomudex	L01BA03
Topicale Assorted Flavour	N01BA05
Topicale Raspberry	N01BA05
Topimax	N03AX11
Topiramat Bluefish	N03AX11
Topiramat ratiopharm	N03AX11
Topotecan Accord	L01XX17
Topotecan Hospira	L01XX17
Toradol	M01AB15
Torecan	R06AD03
Torem	C03CA04
Torisel	L01XE09
Tostran	G03BA03
Toviaz	G04BD11
Toxogonin	V03AB13
Toxogonin campus	V03AB13
Toxogonin specific	V03AB13
Tracel	B05XA31
Tracleer	C02KX01
Tracrium	M03AC04
Tractocile	G02CX01
Trajenta	A10BH05
Tramadol	N02AX02
Tramadol Actavis	N02AX02
Tramadol Hexal	N02AX02
Tramadol ratiopharm	N02AX02
Tramagetic OD	N02AX02
Tramagetic Retard	N02AX02
Trampalgin	N02AX52
Trandate	C07AG01
Transiderm-Nitro	C01DA02
Transtec	N02AE01
Tranylcypromine	N06AF04
Trapanal	N01AF03
Trasylol	B02AB01
Travatan	S01EE04
Travatan Z	S01EE04
Trazodon	N06AX05
Trental	C04AD03
Treo comp	N02AA59
Tresiba	A10AE06
Tretinoin SA	S01
Tri-B-100	A11EA
Triam	H02AB08
Triatec	C09AA05
Tribonat	B05BB03
Tricycline	A
Triesence	S01BA05
Trifluoperazine	N05AB06
Trikloreddiksyre SA	V07A
Trilafon	N05AB03
Trilafon Dekanoat	N05AB03
Trileptal	N03AF02
Trimetoprim	J01EA01
Trimonil Retard	N03AF01
TrioBe	A11EA
Trisekvens	G03FB05
Trisenox	L01XX27
Trisenox orifarm	L01XX27
Trizivir	J05AR04
Trobalt	N03AX21
Trometamol SA	B05BB03
Tropikamid Minims	S01FA06
True Test	V04CL
True Test, panel 1+2	V04CL
True Test, panel 1+2+3	V04CL
Trusopt	S01EC03
Truvada	J05AR03
Truxal	N05AF03
Tuberkulin PPD SA	V04CF01
Tussin	R05CA10
Twinrix Adult	J07BC20
Twinrix Paediatric	J07BC20
Tygacil	J01AA12
Typherix	J07AP03
Typhim Vi	J07AP03
Tysabri	L04AA23
Tyverb	L01XE07
Ullfett med flytende parafin ullevål	D02AC
Uloric	M04AA03
Ultibro Breezhaler	R03AL04
Ultiva	N01AH06
UltraClear PLUS	V06DB
UltraClear PLUS pH Vanilje	V06DB
UltraInflamX	V06DB
Ultracare	N01BA05
Ultraclear	V06DB
Ultraclear Plus	V06DB
Ultraclear Sustain	V06DB
Ultracortenol	S01BA04
Ultravist	V08AB05
Uniloc	C07AB03
Urispadol	G04BD02
Urocit-k	A12BA02
Uromitexan	V03AF01
Ursofalk	A05AA02
Ursofalk euromedica	A05AA02
Utrogest	G03DA04
Utrogestan	G03DA04
Uva Ursi Max-V	G01A
VPRIV	A16AB10
VSL#3	A07FA01
Vagifem	G03CA03
Valaciclovir Sandoz	J05AB11
Valcyte	J05AB14
Valdoxan	N06AX22
Valerianatinktur NAF	N05CM09
Valerina Forte	N05CM09
Valerina Natt	N05CM09
Valium	N05BA01
Vallergan	R06AD01
Valoid	R06AE03
Valoid Euromedica	R06AE03
Valsartan Actavis	C09CA03
Valsartan Sandoz	C09CA03
Valsartan/Hydrochlorothiazide Sandoz	C09DA03
Valsartan/Hydrochlorthiazid Actavis	C09DA03
Valtrex	J05AB11
Vamin 14 g N/L Elektrolyttfri	B05BA01
Vamin 18 g N/L Elektrolyttfri	B05BA01
Vaminolac	B05BA01
Vanadium Krebs	A12CX
Vancomycin	A07AA09
Vancomycin Fresenius Kabi	J01XA01
Vancomycin Hospira	J01XA01
Vancomycin MIP	J01XA01
Vancomycin Pfizer	J01XA01
Vancomycin SA	S01
Vancomycin Xellia	J01XA01
Vaniqa	D11AX16
Vanquin	P02CX01
Vantas	L02AE05
Varidase N	B06AA55
Varilrix	J07BK01
Vasolipid	B05BA02
Vasopressin	H01BA01
Vastarel	C01EB15
Vaxigrip	J07BB02
Vectavir	D06BB06
Vectibix	L01XC08
Vedrop	A11HA08
Velbe	L01CA01
Velcade	L01XX32
Venastat	C05CX03
Venbig	J06BB04
Venlafaxin Bluefish	N06AX16
Venlafaxin Krka	N06AX16
Venlafaxin Sandoz	N06AX16
Venlafaxin ratiopharm	N06AX16
Venlix	N06AX16
Venofer	B03AC
Venofundin	B05AA07
Venoruton	C05CA01
Ventavis	B01AC11
Ventmax SR	R03CC02
Ventoline	R03CC02
Vepesid	L01CB01
Verakard	C08DA01
Verapamil	C08DA01
Veregen	D06BB12
Vermox	P02CA01
Verrumal	D11AF
Versatis	N01BB02
Verucid	D11AF
Vesanoid	L01XX14
Vesanoid (tretinoin)	L01XX14
Vesanoid Euromedica	L01XX14
Vesicare	G04BD08
Vexol	S01BA13
Vfend	J02AC03
Vi-Siblin	A06AC01
ViaSpan	V07AB
Viagra	G04BE03
Vibramycin-D	J01AA02
Vibranord	J01AA02
Victoza	A10BX07
Victrelis	J05AE12
Vidaza	L01BC07
Videne antiseptic solution	D08AG02
Videne surgical scrub	D08AG02
Videx EC	J05AF02
Vidisic	S01XA20
Vigabatrin SA	N03AG04
Vimizim	A16AB12
Vimovo	M01AE52
Vimpat	N03AX18
Vincristine Hospira	L01CA02
Vincristine Pfizer	L01CA02
Vinorelbin Actavis	L01CA04
Vinorelbin Ebewe	L01CA04
Vinorelbin Hospira	L01CA04
Viper venom antiserum, european	J06AA03
Viper venom antitoxin	J06AA03
ViperaTAb	J06AA03
ViperaTAb specific	J06AA03
Viramune	J05AG01
Viread	J05AF07
Virunguent salbe	D06BB01
Visanne	G03DB08
Viscotears	S01XA20
Visipaque	V08AB09
Visken	C07AA03
Vismutmikst/vann 1:3 SA	A02BX
Vistabel	M03AX01
Vistide	J05AB12
Visucloben	S01BA09
Visudyne	S01LA01
Vitacon	B02BA01
Vitacon campus	B02BA01
Vitalipid Adult	B05XC
Vitalipid Infant	B05XC
Vitamin A	A11CA01
Vitamin B1	A11DA01
Vitamin B1 life	A11DA01
Vitamin B12	B03BA01
Vitamin B12 Depot	B03BA03
Vitamin B6	A11HA02
Vitamin C	A11GA01
Vitamin C 500	A11GA01
Vitamin D3	A11CC05
Vitamin E	A11HA03
Vitamin E euromedica	A11HA03
Vitamin E life	A11HA03
Vival	N05BA01
Vivotif	J07AP01
VoLumen	V08BA01
Volibris	C02KX02
Volon	H02AB08
Volon A	A01AC01
Voltaren	M02AA15
Voltaren Emulgel	M02AA15
Voltaren Ophtha	S01BC03
Voltaren Ophtha Abak	S01BC03
Voltarol	M01AB05
Voltarol Forte	M02AA15
Volulyte	B05AA07
Voluven	B05AA07
Voraxaze	V03AF09
Vortemiddel NAF	D11AF
Votrient	L01XE11
Votubia	L01XE10
Vumon	L01CB02
Vyvanse	N06BA12
Väteperoxid	A01AB02
Warfarin Orion	B01AA03
WariAktiv	N01BX01
Wartec	D06BB04
Weifa C-vitamin	A11GA01
Weifapenin	J01CE02
WelChol	C10AC04
Wellbutrin Retard	N06AX12
Wellbutrin SR	N06AX12
Wilate	B02BD06
Willfact	B02BD10
Wilzin	A16AX05
X-Prep	A06AB06
Xagrid	L01XX35
Xalatan	S01EE01
Xalcom	S01ED51
Xalkori	L01XE16
Xaluprine	L01BB02
Xamiol	D05AX52
Xanor	N05BA12
Xanor Depot	N05BA12
Xarelto	B01AF01
Xeloda	L01BC06
Xenazine	N07XX06
Xenetix	V08AB11
Xenical	A08AB01
Xeomin	M03AX01
Xeplion	N05AX13
Xerodent	A01AA01
Xgeva	M05BX04
Xiapex	M09AB02
Xicil	M01AX05
Xifaxan	A07AA11
Xigduo	A10BD15
Xofigo	V10XX
Xolair	R03DX05
Xtandi	L02BB04
Xylocain	N01BB02
Xylocain Adrenalin	N01BB52
Xylocain Dental Adrenalin	N01BB52
Xylocain Viskøs	N01BB02
Xylocain-Adrenalin	N01BB52
Xylocain-Adrenalin euromedica	N01BB52
Xylocaine	D04AB01
Xylocaine Adrenaline	N01BB52
Xylocaine-Adrenaline campus	N01BB52
Xylocaine-Adrenaline life	N01BB52
Xylocard	C01BB01
Xylonest	N01BB04
Xyloneural Forte	N01BB02
Xyrem	N07XX04
Xyzal	R06AE09
Yasmin	G03AA12
Yasmin 28	G03AA12
Yasminelle	G03AA12
Yasminelle 28	G03AA12
Yaz	G03AA12
Yellox	S01BC11
Yentreve	N06AX21
Yervoy	L01XC11
Yodoxin	P01A
Yomesan	P02DA01
Yondelis	L01CX01
Zaditen	S01GX08
Zalna	D10AD51
Zaltrap	L01XX44
Zanaflex	M03BX02
Zanidip	C08CA13
Zanipress	C09BB02
Zanosar	L01AD04
Zanosar life	L01AD04
Zanosar orifarm	L01AD04
Zantac	A02BA02
Zantac euromedica	A02BA02
Zarontin	N03AD01
Zaroxolyn	C03BA08
Zarzio	L03AA02
Zavedos	L01DB06
Zavedos Oral	L01DB06
Zavesca	A16AX06
Zebinix	N03AF04
Zeffix	J05AF05
Zelboraf	L01XE15
Zeldox	N05AE04
Zelmac	A06AX06
Zemplar	H05BX02
Zentel	P02CA03
Zestoretic	C09BA03
Zestoretic Mite	C09BA03
Zestril	C09AA03
Zevalin	V10XX02
Ziagen	J05AF06
Zidoval	G01AF01
Zidovudine	J05AF01
Zilas	R06AX29
Zinacef	J01DC02
Zineryt	D10AF02
Zinforo	J01DI02
Ziprasidon Actavis	N05AE04
Zipzoc salvestrømpe	D09AB01
Zitromax	J01FA10
Zocor	C10AA01
Zoely	G03AA14
Zofenil	C09AA15
Zofenil Comp	C09BA15
Zofran	A04AA01
Zoladex	L02AE03
Zoledronic acid Actavis	M05BA08
Zoledronsyre Fresenius Kabi	M05BA08
Zoledronsyre Hospira	M05BA08
Zoledronsyre medac	M05BA08
Zoledronsyre sun	M05BA08
Zolmitriptan Actavis	N02CC03
Zolmitriptan Sandoz	N02CC03
Zoloft	N06AB06
Zolpidem Actavis	N05CF02
Zolpidem Vitabalans	N05CF02
Zomacton	H01AC01
Zometa	M05BA08
Zomig	N02CC03
Zomig Nasal	N02CC03
Zomig Rapimelt	N02CC03
Zonegran	N03AX15
Zopiclone Actavis	N05CF01
Zopiklon Mylan	N05CF01
Zopitin	N05CF01
Zostavax	J07BK02
Zovirax	S01AD03
Zutectra	J06BB04
Zyban	N06AX12
Zyclara	D06BB10
Zycomb	R01AB06
Zyloric	M04AA01
Zymelin	R01AA07
Zypadhera	N05AH03
Zyprexa	N05AH03
Zyprexa Velotab	N05AH03
Zyrona	G03HB01
Zyrtec	R06AE07
Zytiga	L02BX03
Zyvoxid	J01XX08
Zyx	A01AD02
bicaVera 1,5% glukose 1,25mmol Ca/l	B05DB
bicaVera 1,5% glukose 1,75 mmol Ca/l	B05DB
bicaVera 2,3% glukose 1,25mmol Ca/l	B05DB
bicaVera 2,3% glukose 1,75 mmol Ca/l	B05DB
bicaVera 4,25% glukose 1,25mmol Ca/l	B05DB
bicaVera 4,25% glukose 1,75 mmol Ca/l	B05DB
d Epifrin	S01EA02
diTeBooster	J07AM51
ellaOne	G03AD02
kaliumklorid SA	A12BA01
